linkage,clusters,gender,silhouette_score
ward,10,male,0.053283483173697146
ward,10,female,0.10739317996268394
ward,15,male,0.051241363592087794
ward,15,female,0.07138119429873963
ward,20,male,0.06427067001243159
ward,20,female,0.06718436585752575
ward,30,male,0.05750958321815837
ward,30,female,0.07040414980502467
ward,50,male,0.055499326176558936
ward,50,female,0.08065188747653738
complete,10,male,0.05283676159458251
complete,10,female,0.11407528383713703
complete,15,male,0.04288278798527675
complete,15,female,0.07356217144870227
complete,20,male,0.051502517488364846
complete,20,female,0.06539034996395464
complete,30,male,0.04668714913816288
complete,30,female,0.05853399972860943
complete,50,male,0.03761516853984245
complete,50,female,0.057467424651494126
average,10,male,0.3959922893375931
average,10,female,0.27129309586378264
average,15,male,0.29249921982359456
average,15,female,0.22044686596338992
average,20,male,0.238917515015848
average,20,female,0.1486618815546197
average,30,male,0.14951243689630708
average,30,female,0.09380044283025318
average,50,male,0.07943114637054605
average,50,female,0.05647829304505273
single,10,male,0.5087077318280924
single,10,female,0.520324346441751
single,15,male,0.458280406173311
single,15,female,0.38046471326866
single,20,male,0.4291477638104001
single,20,female,0.36066668615402536
single,30,male,0.24650544367751617
single,30,female,0.2583530656863195
single,50,male,0.14515350874006033
single,50,female,0.12469564669035478
